project,ticker,tier,category,settlement_exposure,data_availability_exposure,proof_exposure,tx_signature_exposure,onchain_exposure,other_exposure,ec_sunset,date_last_updated,audit,report
Base,BASE,F,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-20,,chains/l2/base.md
Arbitrum One,ARB,F,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/arbitrum-one.md
Polygon CDK,POL,F,L2 (zk-snark),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-20,,chains/l2/polygon-cdk.md
OP Mainnet,OP,C,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/op-mainnet.md
StarkNet,STRK,A,L2 (zk-stark),b-dev.svg,c-planned.svg,a-done.svg,d-discussed.svg,d-discussed.svg,d-discussed.svg,f-nothing.svg,2026-06-20,,chains/l2/starknet.md
Mantle,MNT,F,L2 (optimistic),b-dev.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/mantle.md
Ink,INK,C,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/ink.md
MegaETH,MEGA,F,L2 (optimistic),b-dev.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/megaeth.md
X Layer,OKB,F,L2 (zk-snark),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/x-layer.md
Stacks,STX,F,L2 (other),c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-20,,chains/l2/stacks.md
World Chain,WLD,C,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/world-chain.md
Blast,BLAST,C,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/blast.md
Linea,LINEA,F,L2 (zk-snark),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/linea.md
Unichain,UNI,C,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/unichain.md
Etherlink,XTZ,F,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/etherlink.md
zkSync Era,ZK,F,L2 (zk-snark),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/zksync-era.md
Immutable X,IMX,A,L2 (zk-stark),b-dev.svg,f-nothing.svg,a-done.svg,f-nothing.svg,n-not-applicable.svg,f-nothing.svg,f-nothing.svg,2026-06-20,,chains/l2/immutable-x.md
Scroll,SCR,F,L2 (zk-snark),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/scroll.md
Abstract,ABS,F,L2 (zk-snark),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/abstract.md
Soneium,SONEIUM,C,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/soneium.md
Taiko,TKO,F,L2 (zk-snark),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/taiko.md
Metis,METIS,F,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/metis.md
Arbitrum Nova,NOVA,F,L2 (optimistic),b-dev.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-18,,chains/l2/arbitrum-nova.md
Zora,ZORA,C,L2 (optimistic),b-dev.svg,c-planned.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/zora.md
Aztec,AZTEC,F,L2 (zk-snark),b-dev.svg,b-dev.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,f-nothing.svg,2026-06-20,,chains/l2/aztec.md
Derive,DRV,C,L2 (optimistic),b-dev.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,f-nothing.svg,f-nothing.svg,c-planned.svg,2026-06-20,,chains/l2/derive.md
