wallet,vendor,category,pqc_stance,crypto_agility,protocol_pqc,contract_pqc_support,offchain_pqc,date_last_updated,audit,report
MetaMask,Consensys,Software,not-applicable.svg,yes.svg,no.svg,yes-but.svg,no.svg,2026-05-11,,wallets/metamask.md
Phantom,Phantom,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
OKX Web3,OKX,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/okx.md
Trust Wallet,Binance subsidiary,Software,yes.svg,yes.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/trust-wallet.md
Keplr,Chainapsis,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/keplr.md
Ronin Wallet,Sky Mavis,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Coinbase Wallet,Coinbase,Smart Contract,yes.svg,yes.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,wallets/coinbase-wallet.md
Rabby,DeBank,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/rabby.md
Solflare,Solflare Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
UniSat,UniSat Labs,Software,not-applicable.svg,not-applicable.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/unisat.md
Backpack,Coral,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,wallets/backpack.md
Petra,Aptos Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/petra.md
Polkadot{.js},Parity Technologies,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/polkadot-js.md
Yoroi,EMURGO,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Xverse,Secret Key Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/xverse.md
Argent,Argent Labs / Ready,Smart Contract,not-applicable.svg,yes.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/argent.md
Ctrl,Ctrl (formerly XDEFI),Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Martian,Pontem Network,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/martian.md
SubWallet,Koni Studio,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/subwallet.md
Bybit Web3,Bybit,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Magic Eden Wallet,Magic Eden / Exodus Movement,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Exodus,Exodus Movement (NYSE: EXOD),Software,yes-but.svg,no.svg,no.svg,no.svg,no.svg,2026-05-11,,wallets/exodus.md
Leo Wallet,Provable (formerly Demox Labs),Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,wallets/leo.md
SafePal,SafePal,Hardware,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
HashPack,HashPack,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/hashpack.md
Zerion,Zerion (SF),Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/zerion.md
Coin98,Coin98 Finance,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Nightly,Nightly Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/nightly.md
Talisman,Talisman,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/talisman.md
Sender,Sender Labs (Singapore),Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/sender.md
Eternl,TastenKunst,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,
Crypto.com Onchain,Foris DAX,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Leather,Trust Machines,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/leather.md
Lace,IOG,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/lace.md
Gate Web3,Gate.com,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
MultiversX Wallet,MultiversX,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/multiversx.md
MyTonWallet,Anyway Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,yes-but.svg,no.svg,2026-05-11,,wallets/mytonwallet.md
Core,Ava Labs,Software,not-applicable.svg,no.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,
Math Wallet,Math Global Foundation,Software,not-applicable.svg,no.svg,no.svg,no.svg,no.svg,2026-05-11,,
Plug,Psychedelic,Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/plug.md
Alby,Alby,Software,not-applicable.svg,not-applicable.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/alby.md
OneKey,OneKey,Hardware,yes.svg,yes-but.svg,not-applicable.svg,no.svg,no.svg,2026-05-11,,wallets/onekey.md
Wombat,Spielworks (Berlin),Software,not-applicable.svg,no.svg,not-applicable.svg,not-applicable.svg,no.svg,2026-05-11,,wallets/wombat.md
